question_id,answer_filename,answer_text,answer_correct
00041_36179,M3_1_01_00041_36179_A.png,"$ (\sqrt{a})^{2}=3^{2} $ 이므로 $ a=9 $ $ (\sqrt{b})^{2}=7^{2} $ 이므로 $ b=49 $ $ \therefore b-a=49-9=40 $  $ a>0 $ 일 때, $ \sqrt{a^{2}}=a,(-\sqrt{a})^{2}=a $",$40$
00041_36180,M3_1_01_00041_36180_A.png,"(2) $121$ (3) $0.09$ (4) $ \frac{4}{9} $ (1) $ \sqrt{a}=2 $ 이므로 $ (\sqrt{a})^{2}=2^{2} $ $ \therefore a=4 $  (2) $ \sqrt{a}=11 $ 이므로 $ (\sqrt{a})^{2}=11^{2} $ $ \therefore a=121 $ (3) $ \sqrt{a}=0.3 $ 이므로 $ (\sqrt{a})^{2}=0.3^{2} $ $ \therefore a=0.09 $ (4) $ \sqrt{a}=\frac{2}{3} $ 이므로 $ (\sqrt{a})^{2}=\left(\frac{2}{3}\right)^{2}=\frac{4}{9} \quad \therefore a=\frac{4}{9} $ $ a>0 $ 일 때, $ \sqrt{a^{2}}=a, \quad(-\sqrt{a})^{2}=a $",(1) $4$
00041_36181,M3_1_01_00041_36181_A.png,"$\sqrt{a}=1.2$ 이므로 $\sqrt{a}^{2}=(1.2)^{2} \therefore a=1.44$ $\sqrt{a}=2$ 이므로 $\sqrt{a}^{2}=2^{2} \therefore a=4$  $\sqrt{a}=2.5$ 이므로 $\therefore a=6.25$ $\sqrt{a})^{2}=(2.5)^{2}$ $\sqrt{a}=3$ 이므로 $\sqrt{a})^{2}=3^{2} \therefore a=9$ $\sqrt{a}=4$ 이므로 $\sqrt{a})^{2}=4^{2} \therefore a=16$ $\sqrt{a}=5$ 이므로 $\sqrt{a})^{2}=5^{2} \therefore a=25$  따라서 $5<a<10$ 인 $\sqrt{a}$ 의 값은 $2.5,3$ 의 $2$ 개이다. $a>0$ 일 때, $(\sqrt{a})^{2}=a$",$2$개
00041_36182,M3_1_01_00041_36182_A.png,"\[ \begin{array}{l} \text { (2) } \sqrt{[-2]^{2}}=2 \text { 이고, }-\sqrt{2^{2}}=-2 \text { 이다. } \\ \therefore \sqrt{[-2]^{2}} \neq-\sqrt{2^{2}} \end{array} \] (3) $ x^{2}=6 $ 이면 $ x= \pm \sqrt{6} $ 이다. (4) $ \sqrt{a}=3 $ 이면 $ a=9 $ 이다. (5) $ \sqrt{a^{2}}-\sqrt{[-a]^{2}}=a-a=0 $ $ a>0 $ 일 때. $ (\sqrt{a}]^{2}=a, [-\sqrt{a}]^{2}=a, \sqrt{a^{2}}=a, \sqrt{[-a]^{2}}=a $",①
00041_36183,M3_1_01_00041_36183_A.png,"(1) $ -\sqrt{2^{2}}=-\sqrt{4} $ 는 4 의 음의 제곱근이다. (2) $ (\sqrt{2})^{2}=2 $ (3) 음수의 제곱근은 없다. (4) $ \sqrt{25}=\sqrt{5^{2}}=5 $ (5) $ \sqrt{(-7)^{2}}=7 $  $ x^{2}=a \quad(a \geq 0) $ 일 때, $ x $ 는 $ a $ 의 제곱근이다. $ a>0 $ 일 때, $ \sqrt{a},-\sqrt{a} $ 는 모두 $ a $ 의 제곱근이다.",⑤
00041_36184,M3_1_01_00041_36184_A.png,"① 한 변의 길이를 $ x $ 라 하면 $ x^{2}=6 \therefore x=\sqrt{6}(\because x>0) $ ② $ \sqrt{0.04}=\sqrt{(0.2)^{2}}=0.2 $ ③ $ -\sqrt{(-2)^{2}}=-2 $ 이고, $ \sqrt{2^{2}}=2 $ 이다. $ \therefore-\sqrt{(-2)^{2}} \neq \sqrt{2^{2}} $ $ \sqrt{a^{2}}=\left\{\begin{array}{ll}a & (a \geq 0) \\ -a & (a<0)\end{array}\right. $",③
00041_36185,M3_1_01_00041_36185_A.png,"② $ 16 $ 의 제곱근은 $ \pm 4 $ 이다. ③ $ \sqrt{\frac{4}{9}}=\sqrt{\left(\frac{2}{3}\right)^{2}}=\frac{2}{3} $ ④ $ \sqrt{(-3)^{2}}=3 $ ⑤ $ (-\sqrt{2})^{2}+(\sqrt{2})^{2}=2+2=4 $ 따라서 옳은 것은 ①이다.     $ a>0 $ 일 때, $ \sqrt{a},-\sqrt{a} $ 는 모두 $ a $ 의 제곱근이다.",①
00041_36186,M3_1_01_00041_36186_A.png,"① $ \sqrt{25}=5 $의 양의 제곱근은 $ \sqrt{5} $이다. ② $ -\sqrt{(-5)^{2}}=-5 $ ③$ \sqrt{(-6)^{2}}=6 $ ④ $ 3 $의 음의 제곱근은 $ -\sqrt{3} $이다. ⑤ $ \sqrt{(-4)^{2}}=4 $의 제곱근은 $ \pm 2 $이다. $ a>0 $일 때,$ (\sqrt{a})^{2}=a, (-\sqrt{a})^{2}=a,  \sqrt{a^{2}}=a, \sqrt{(-a)^{2}}=a $",⑤
00041_36187,M3_1_01_00041_36187_A.png,"(1) $ \sqrt{1 . \dot{2} \times 0 . i \dot{6}}=\sqrt{\frac{11}{9} \times \frac{16}{99}}=\sqrt{\left(\frac{4}{9}\right)^{2}}=\frac{4}{9} $ (2) $ \sqrt{\sqrt{11^{2}}-\sqrt{(-2)^{2}}}=\sqrt{11-2}=\sqrt{9}=3 $ (3) $ a-3<0 $ 이므로 $ \sqrt{(a-3]^{2}}=-[a-3]=3-a $ (4) $ \sqrt{3^{3}-2}=\sqrt{27-2}=\sqrt{25}=5 $ $ \sqrt{\sqrt{(-7)^{2}}-\sqrt{(-3)^{2}}}=\sqrt{7-3}=\sqrt{4}=2 $ $ a>0 $ 일 때, $ (\sqrt{a})^{2}=a, \quad(-\sqrt{a})^{2}=a, \sqrt{a^{2}}=a, \sqrt{(-a)^{2}}=a $",⑤
00041_36436,M3_1_01_00041_36436_A.png,$ \frac{64}{225}=\frac{8^{2}}{15^{2}}=\left(\frac{8}{15}\right)^{2} $ 이므로 $ \frac{64}{225} $ 의 양의 제곱근은 $ \frac{8}{15} $ 이다. $  \therefore a=\frac{8}{15} $ $ 0.0144=\frac{144}{10000}=\frac{12^{2}}{100^{2}}=\left(\frac{12}{100}\right)^{2} $ 이므로 $0.0144$의 음의 제곱근은 $ -\frac{12}{100}=-\frac{3}{25} $ 이다. $  \therefore b=-\frac{3}{25} $ 따라서 $ \frac{a}{b}=a \times \frac{1}{b}=\frac{8}{15} \times\left(-\frac{25}{3}\right)=-\frac{40}{9} $ 이다. 제곱해서 $ \frac{64}{225} $ 가 되는 양수와 제곱해서 $0.0144$가 되는 음수를 찾는다.,$ -\frac{40}{9} $
